exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
82,180,vehicle,high,low,209.0,0.836,Java_high_Java_low_results.csv
82,104,vehicle,high,low,234.0,0.936,Java_high_Java_low_results.csv
82,170,vehicle,high,low,274.0,0.848297213622291,Java_high_Java_low_results.csv
82,124,vehicle,high,low,253.0,0.887719298245614,Java_high_Java_low_results.csv
82,64,vehicle,high,low,509.0,0.8597972972972973,Java_high_Java_low_results.csv
82,164,vehicle,high,low,230.0,0.92,Java_high_Java_low_results.csv
82,200,vehicle,high,low,209.0,0.836,Java_high_Java_low_results.csv
82,132,vehicle,high,low,262.0,0.8851351351351351,Java_high_Java_low_results.csv
82,77,vehicle,high,low,312.0,0.8020565552699229,Java_high_Java_low_results.csv
86,27,vehicle,high,low,266.0,0.9172413793103448,Java_high_Java_low_results.csv
82,126,vehicle,high,low,281.0,0.8808777429467085,Java_high_Java_low_results.csv
82,179,vehicle,high,low,315.0,0.8224543080939948,Java_high_Java_low_results.csv
82,176,vehicle,high,low,340.0,0.8333333333333334,Java_high_Java_low_results.csv
82,13,vehicle,high,low,461.0,0.8351449275362319,Java_high_Java_low_results.csv
82,128,vehicle,high,low,428.0,0.8681541582150102,Java_high_Java_low_results.csv
82,183,vehicle,high,low,257.0,0.9178571428571428,Java_high_Java_low_results.csv
86,10,vehicle,high,low,242.0,0.8344827586206897,Java_high_Java_low_results.csv
82,182,vehicle,high,low,341.0,0.8525,Java_high_Java_low_results.csv
86,65,vehicle,high,low,258.0,0.8896551724137931,Java_high_Java_low_results.csv
86,56,vehicle,high,low,246.0,0.8482758620689655,Java_high_Java_low_results.csv
86,74,vehicle,high,low,248.0,0.8551724137931035,Java_high_Java_low_results.csv
86,29,vehicle,high,low,256.0,0.8827586206896552,Java_high_Java_low_results.csv
86,31,vehicle,high,low,265.0,0.913793103448276,Java_high_Java_low_results.csv
86,34,vehicle,high,low,240.0,0.8275862068965517,Java_high_Java_low_results.csv
86,78,vehicle,high,low,255.0,0.8793103448275862,Java_high_Java_low_results.csv
86,35,vehicle,high,low,253.0,0.8724137931034482,Java_high_Java_low_results.csv
