exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
27,196,5,low,none,0.987071422627659,0.6527034388251732,0.9779910228833779,0.8960266226543447,0.7241379310344828
29,30,5,low,none,0.9911625798499437,0.6862193219582917,0.9887236260081375,0.9469245873463213,0.7045454545454546
29,36,5,low,none,0.9898539121324442,0.6725699114857104,0.987131631073299,0.8953399542744684,0.7113095238095237
29,93,5,low,none,0.9917903829933307,0.7137579491693926,0.9897137970551845,0.8936586572830671,0.638095238095238
29,96,5,low,none,0.9897774762630529,0.7464018138825661,0.9852928501002638,0.9303066421796082,0.5853658536585366
29,110,5,low,none,0.9917714785120267,0.7311365794789966,0.9892671714270165,0.9207967368916034,0.625
29,163,5,low,none,0.9902358327671181,0.7392828781619833,0.9870389286438732,0.9097492294385761,0.6666666666666667
29,181,5,low,none,0.9918193818418835,0.7480151071273606,0.9908249381617403,0.9287628221404474,0.6666666666666667
29,189,5,low,none,0.9923437098784732,0.7075731931085087,0.9904349163864122,0.9581357135428249,0.6444444444444445
29,201,5,low,none,0.9922722576173449,0.7081096488910454,0.9898919198266491,0.9017703900117122,0.6
29,154,5,low,none,0.9930347316035922,0.7182983551796187,0.9922376247140406,0.9472710155126081,0.6730769230769231
29,204,5,low,none,0.9899441547852407,0.5727447027883729,0.9840682171135916,0.9063658178119834,0.6521739130434783
29,211,5,low,none,0.9920763543014681,0.7289513418573701,0.9896018619530553,0.926741074811829,0.6363636363636365
31,3,5,low,none,0.9934801494272463,0.6579674774710926,0.992220314148329,0.9281810462841376,0.7078252032520326
31,5,5,low,none,0.9938130327127825,0.7721726971295763,0.991701084169023,0.9471625884923895,0.695048309178744
31,12,5,low,none,0.9929010349403979,0.7089439297205442,0.9896058741629674,0.910377262353208,0.7083333333333334
31,28,5,low,none,0.9930617689547784,0.7201402072469549,0.9909363555652455,0.9470237725816988,0.6236111111111111
31,30,5,low,none,0.993843588736789,0.7143292802733352,0.990611400298703,0.9359679254743662,0.6698717948717949
31,36,5,low,none,0.9926318289840685,0.6563652788221837,0.9917031238045102,0.9396895150481855,0.7
29,196,5,low,none,0.988440693674069,0.6735958218297036,0.9840696197796437,0.9173258101389746,0.6405128205128205
31,93,5,low,none,0.9930670572913559,0.6672387533921176,0.9914528126229291,0.8549863520285437,0.7
31,110,5,low,none,0.9938366472888533,0.6892415614459035,0.9918413940512468,0.9548351485085069,0.7058823529411764
31,96,5,low,none,0.9926088024046108,0.7174678885516477,0.989385993117543,0.9108672265239715,0.5947473404255319
31,163,5,low,none,0.9917305135200509,0.6674408786861393,0.9886333987367677,0.9277892950842447,0.676944971537002
31,181,5,low,none,0.9947852102593273,0.733873302907891,0.9924048501520505,0.8970068785229168,0.6785714285714286
31,204,5,low,none,0.9929810917693367,0.5931402993436522,0.989890499093763,0.8839639264442689,0.6666666666666666
31,189,5,low,none,0.9942980439966784,0.7472631668223587,0.991629048473095,0.9345086777678658,0.6363636363636365
